INITCAP,ACTCAP,WL_CAP,TERM,num_gradute,num_admited,Crse,Subj,CRN
50,43,0,Summer,103,648,6035,CS,39081
100,97,0,Summer,160,651,6035,CS,39081
150,121,0,Summer,189,543,6035,CS,39081
200,189,0,Summer,134,250,6035,CS,39081
300,301,1,Summer,101,537,6035,CS,39081
50,24,0,Summer,193,354,6035,CS,39081
100,92,0,Summer,187,503,6035,CS,39081
150,134,0,Summer,153,569,6035,CS,39081
200,217,17,Summer,104,297,6035,CS,39081
300,284,0,Summer,179,493,6035,CS,39081
50,61,11,Summer,153,661,6035,CS,39081
100,64,0,Summer,127,347,6035,CS,39081
150,162,12,Summer,195,555,6035,CS,39081
200,212,12,Summer,172,541,6035,CS,39081
300,320,20,Summer,150,579,6035,CS,39081
50,32,0,Summer,123,278,6035,CS,39081
100,91,0,Summer,165,346,6035,CS,39081
150,120,0,Summer,163,619,6035,CS,39081
200,220,20,Summer,121,639,6035,CS,39081
300,287,0,Summer,175,385,6035,CS,39081
50,61,11,Summer,165,699,6035,CS,39081
100,60,0,Summer,155,605,6035,CS,39081
150,131,0,Summer,156,570,6035,CS,39081
200,169,0,Summer,126,279,6035,CS,39081
300,301,1,Summer,172,258,6035,CS,39081
50,44,0,Summer,199,359,6035,CS,39081
100,104,4,Summer,163,291,6035,CS,39081
150,144,0,Summer,154,393,6035,CS,39081
200,163,0,Summer,137,524,6035,CS,39081
300,264,0,Summer,110,666,6035,CS,39081
50,18,0,Summer,102,311,6035,CS,39081
100,88,0,Summer,142,466,6035,CS,39081
150,117,0,Summer,147,379,6035,CS,39081
200,210,10,Summer,136,548,6035,CS,39081
300,273,0,Summer,108,549,6035,CS,39081
50,54,4,Summer,178,510,6035,CS,39081
100,120,20,Summer,126,352,6035,CS,39081
150,148,0,Summer,117,620,6035,CS,39081
200,170,0,Summer,120,386,6035,CS,39081
300,315,15,Summer,187,654,6035,CS,39081
50,27,0,Summer,104,546,6035,CS,39081
100,118,18,Summer,127,673,6035,CS,39081
150,160,10,Summer,170,658,6035,CS,39081
200,204,4,Summer,196,344,6035,CS,39081
300,320,20,Summer,151,459,6035,CS,39081
50,45,0,Summer,197,448,6035,CS,39081
100,92,0,Summer,167,424,6035,CS,39081
150,122,0,Summer,137,296,6035,CS,39081
200,175,0,Summer,101,430,6035,CS,39081
300,284,0,Summer,124,577,6035,CS,39081
50,21,0,Summer,104,390,6035,CS,39081
100,77,0,Summer,106,487,6035,CS,39081
150,124,0,Summer,194,275,6035,CS,39081
200,181,0,Summer,147,555,6035,CS,39081
300,318,18,Summer,170,524,6035,CS,39081
50,56,6,Summer,164,693,6035,CS,39081
100,81,0,Summer,155,366,6035,CS,39081
150,141,0,Summer,137,643,6035,CS,39081
200,194,0,Summer,141,449,6035,CS,39081
300,276,0,Summer,119,622,6035,CS,39081
50,65,15,Summer,121,583,6035,CS,39081
100,73,0,Summer,141,540,6035,CS,39081
150,131,0,Summer,119,571,6035,CS,39081
200,178,0,Summer,134,628,6035,CS,39081
300,273,0,Summer,116,269,6035,CS,39081
50,22,0,Summer,174,554,6035,CS,39081
100,94,0,Summer,170,423,6035,CS,39081
150,132,0,Summer,179,603,6035,CS,39081
200,168,0,Summer,109,352,6035,CS,39081
300,310,10,Summer,151,592,6035,CS,39081
50,51,1,Summer,121,477,6035,CS,39081
100,63,0,Summer,108,324,6035,CS,39081
150,155,5,Summer,139,349,6035,CS,39081
200,161,0,Summer,155,408,6035,CS,39081
300,268,0,Summer,190,374,6035,CS,39081
50,32,0,Summer,111,355,6035,CS,39081
100,73,0,Summer,142,398,6035,CS,39081
150,132,0,Summer,123,518,6035,CS,39081
200,170,0,Summer,165,297,6035,CS,39081
300,294,0,Summer,108,649,6035,CS,39081
50,48,0,Summer,189,407,6035,CS,39081
100,99,0,Summer,120,518,6035,CS,39081
150,157,7,Summer,171,523,6035,CS,39081
200,220,20,Summer,164,689,6035,CS,39081
300,310,10,Summer,132,473,6035,CS,39081
50,66,16,Summer,185,281,6035,CS,39081
100,117,17,Summer,184,354,6035,CS,39081
150,115,0,Summer,195,301,6035,CS,39081
200,214,14,Summer,129,650,6035,CS,39081
300,289,0,Summer,101,289,6035,CS,39081
50,22,0,Summer,112,547,6035,CS,39081
100,120,20,Summer,117,509,6035,CS,39081
150,145,0,Summer,117,616,6035,CS,39081
200,220,20,Summer,188,395,6035,CS,39081
300,320,20,Summer,177,355,6035,CS,39081
50,26,0,Summer,118,519,6035,CS,39081
100,86,0,Summer,151,655,6035,CS,39081
150,144,0,Summer,124,514,6035,CS,39081
200,211,11,Summer,188,360,6035,CS,39081
300,312,12,Summer,103,439,6035,CS,39081
50,50,0,Summer,164,610,6035,CS,39081
100,117,17,Summer,120,686,6035,CS,39081
150,153,3,Summer,186,689,6035,CS,39081
200,219,19,Summer,101,614,6035,CS,39081
300,278,0,Summer,139,396,6035,CS,39081
50,49,0,Summer,118,439,6035,CS,39081
100,112,12,Summer,114,520,6035,CS,39081
150,132,0,Summer,112,502,6035,CS,39081
200,218,18,Summer,173,464,6035,CS,39081
300,311,11,Summer,136,350,6035,CS,39081
50,30,0,Summer,170,665,6035,CS,39081
100,88,0,Summer,134,469,6035,CS,39081
150,139,0,Summer,126,553,6035,CS,39081
200,206,6,Summer,149,279,6035,CS,39081
300,286,0,Summer,112,340,6035,CS,39081
50,23,0,Summer,179,585,6035,CS,39081
100,69,0,Summer,162,297,6035,CS,39081
150,131,0,Summer,101,615,6035,CS,39081
200,218,18,Summer,183,580,6035,CS,39081
300,266,0,Summer,160,321,6035,CS,39081
50,31,0,Summer,176,454,6035,CS,39081
100,89,0,Summer,163,320,6035,CS,39081
150,135,0,Summer,132,620,6035,CS,39081
200,170,0,Summer,167,272,6035,CS,39081
300,311,11,Summer,177,685,6035,CS,39081
50,14,0,Summer,122,292,6035,CS,39081
100,113,13,Summer,198,693,6035,CS,39081
150,111,0,Summer,111,394,6035,CS,39081
200,163,0,Summer,183,391,6035,CS,39081
300,316,16,Summer,112,307,6035,CS,39081
50,17,0,Summer,126,639,6035,CS,39081
100,61,0,Summer,158,359,6035,CS,39081
150,113,0,Summer,187,330,6035,CS,39081
200,173,0,Summer,191,613,6035,CS,39081
300,265,0,Summer,199,310,6035,CS,39081
50,39,0,Summer,186,691,6035,CS,39081
100,75,0,Summer,130,311,6035,CS,39081
150,146,0,Summer,146,380,6035,CS,39081
200,181,0,Summer,106,485,6035,CS,39081
300,313,13,Summer,144,543,6035,CS,39081
50,56,6,Summer,115,630,6035,CS,39081
100,83,0,Summer,180,496,6035,CS,39081
150,151,1,Summer,104,393,6035,CS,39081
200,174,0,Summer,114,581,6035,CS,39081
300,288,0,Summer,177,546,6035,CS,39081
50,65,15,Summer,103,330,6035,CS,39081
100,101,1,Summer,166,697,6035,CS,39081
150,110,0,Summer,145,558,6035,CS,39081
200,205,5,Summer,101,588,6035,CS,39081
300,285,0,Summer,133,544,6035,CS,39081
50,22,0,Summer,115,307,6035,CS,39081
100,72,0,Summer,170,371,6035,CS,39081
150,161,11,Summer,183,594,6035,CS,39081
200,214,14,Summer,147,599,6035,CS,39081
300,295,0,Summer,133,399,6035,CS,39081
50,61,11,Summer,162,603,6035,CS,39081
100,65,0,Summer,165,511,6035,CS,39081
150,112,0,Summer,125,312,6035,CS,39081
200,174,0,Summer,147,617,6035,CS,39081
300,307,7,Summer,187,348,6035,CS,39081
50,25,0,Summer,121,488,6035,CS,39081
100,85,0,Summer,185,384,6035,CS,39081
150,165,15,Summer,125,620,6035,CS,39081
200,203,3,Summer,180,585,6035,CS,39081
300,280,0,Summer,109,541,6035,CS,39081
50,35,0,Summer,119,498,6035,CS,39081
100,98,0,Summer,199,460,6035,CS,39081
150,143,0,Summer,110,629,6035,CS,39081
200,213,13,Summer,153,690,6035,CS,39081
300,280,0,Summer,100,688,6035,CS,39081
50,19,0,Summer,147,515,6035,CS,39081
100,113,13,Summer,100,592,6035,CS,39081
150,113,0,Summer,160,253,6035,CS,39081
200,160,0,Summer,128,570,6035,CS,39081
300,299,0,Summer,126,473,6035,CS,39081
50,14,0,Summer,144,368,6035,CS,39081
100,97,0,Summer,133,258,6035,CS,39081
150,159,9,Summer,195,439,6035,CS,39081
200,178,0,Summer,100,649,6035,CS,39081
300,275,0,Summer,160,565,6035,CS,39081
50,64,14,Summer,163,617,6035,CS,39081
100,71,0,Summer,159,552,6035,CS,39081
150,122,0,Summer,117,305,6035,CS,39081
200,208,8,Summer,151,689,6035,CS,39081
300,297,0,Summer,145,683,6035,CS,39081
50,62,12,Summer,180,260,6035,CS,39081
100,97,0,Summer,128,616,6035,CS,39081
150,112,0,Summer,190,503,6035,CS,39081
200,209,9,Summer,173,593,6035,CS,39081
300,304,4,Summer,128,329,6035,CS,39081
50,69,19,Summer,121,455,6035,CS,39081
100,113,13,Summer,177,353,6035,CS,39081
150,121,0,Summer,132,379,6035,CS,39081
200,177,0,Summer,194,492,6035,CS,39081
300,284,0,Summer,158,467,6035,CS,39081
50,58,8,Summer,109,311,6035,CS,39081
100,98,0,Summer,185,442,6035,CS,39081
150,117,0,Summer,187,298,6035,CS,39081
200,202,2,Summer,156,281,6035,CS,39081
300,270,0,Summer,100,494,6035,CS,39081
50,35,0,Summer,172,558,6035,CS,39081
